""	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"
"Lym_0d_1"	-49.7834043930945	2.22582897720589	-37.7997477566368	30.3148094368575	-8.65643399951908	15.661137915748	-1.30261456576423	4.56711443916117	-8.75890269145789	12.7221090077869	-18.7036143452442	12.9847235110888	-19.1327582459075	6.09246434931876	-20.3712275599636	17.1944577218241	-13.9548380141121	4.98212833008581	8.4425723584212	-4.29647434989338	4.75073225035386	-19.2286562732222	-6.84669639887345	3.71890018779908e-14
"Lym_0d_2"	-53.5454130759869	-11.5884991820375	-31.85983539281	11.0216719945401	-27.5461399919778	17.4225847127906	3.43391561640747	14.1785020281118	-2.0461910059697	-11.1070409412839	-2.0262691332365	-21.0494833737666	-4.4917392318943	7.66628270378576	12.4431934065858	14.7073664764355	8.74558219004899	-2.16974214261073	4.01073203241684	7.55713825892116	3.1497156503242	31.0422090799839	6.4942946838918	2.21931847899093e-14
"Lym_0d_3"	-42.0789529141493	-4.96023308031958	-36.090937417272	-9.78536294624026	18.7412255606145	-2.07285875521895	-11.5884537537975	21.0508511422352	3.12792332210421	-6.92738147945064	10.4333891977424	10.8923571958227	16.4378162960655	3.04288909500502	10.0874850635336	-12.7747190403313	15.3998614980643	-2.46867628188407	1.99983455378509	20.2241558247248	23.5162969397365	-15.891221996466	-6.01992485302513	2.77243505930613e-14
"Lym_1d_1"	-46.58364104081	5.2601803864216	-12.9382701920241	21.7660926824554	3.24830764640495	0.54599728394424	-15.3273854243041	-24.1489237114906	23.1032859059273	19.2852958840839	3.61930577987597	1.61908312359966	-11.9767733853567	9.67026982685998	3.56922998454448	-20.0260874868745	-4.38998979131342	-0.291646531746176	-30.1966293356762	-5.69980995813226	6.2948293604291	6.09864537566901	13.1134577116637	-5.7669147235373e-14
"Lym_1d_2"	-57.2060809014094	-10.0078877620282	2.49549606234501	18.8687803789245	-26.9611860417205	-15.6464491362676	12.9273536090743	-5.77584882156144	8.57452599201299	-7.95493689056979	11.9759803604303	7.38593516907393	-4.97534201802701	-27.0431127894418	-10.8437729987335	-13.7693492244435	1.89564449847537	-15.1767465453372	-0.81940534959047	14.4172742550454	-19.1718250405825	0.299568016132534	-17.494327253058	1.30936927966729e-14
"Lym_1d_3"	-41.3629757876694	4.74551874496964	-32.8611000832215	-12.5687810269639	14.474256520784	-4.79243826001167	-11.5949870871252	13.5641225769288	14.8102532179094	1.7568588315025	3.77582851059077	3.6483596877434	18.1689530465825	-7.93056689545454	5.92486850309232	9.01060687161447	8.90077018223389	9.88497021042802	2.45229629533838	-23.7312125230651	-30.9964932764411	-4.7671090510689	7.80598156434617	2.85986512249536e-14
"Lym_4d_1"	-27.8796961892183	43.2587187327693	22.0448772698205	-28.7076102158819	12.4282777637291	3.26811379080674	33.2086007972554	-15.0766838189552	26.0463196366317	17.3650094325776	-9.12992137272351	7.99978721753796	5.43049210292899	-7.42629576594914	-3.07130139173902	23.9147398821357	9.59516502698207	-6.83313822044388	2.22647603792693	9.23665465784403	8.95151510898856	3.02651943980196	4.253797713968	1.37771738462078e-14
"Lym_4d_2"	-27.9058285698052	39.2400497581111	-3.01047065517254	-34.1049554390184	2.243842678084	17.5420618077127	0.365982315428466	-17.4667451261291	-7.23269674144716	2.2948847539531	19.0946116139564	1.33968627435792	-4.93813833553408	11.6894268827835	-1.25391224012351	-23.4356217205027	-15.1141289254554	7.86326822325855	30.0383088532617	-1.34065127037548	-3.74091888301427	8.25134263927331	-1.37713153246367	2.69749500514394e-14
"Lym_4d_3"	-33.2825974061894	12.4384148591305	9.0071467337906	-62.7676944911615	-20.3097953427028	-0.421414069830552	9.02513953557188	16.203983155257	-14.2458259342294	-19.6894194663609	2.45775067356244	-8.38556887419194	-6.84843108284299	-0.312350823446109	-7.92282261818164	0.420086391933229	-10.2206090345154	-1.2699383816528	-26.520249307232	-11.4752629282964	5.73091272472749	-9.5630827518308	0.197598399661255	1.80591219062221e-14
"Lym_7d_1"	-38.4924119288045	15.0374890578449	21.9111866232624	13.2154572667754	32.8180904789482	17.8477043742455	-20.2683820148106	-17.0609349631888	-18.3577122491852	-17.6981546787256	-20.9012035443551	-7.3497576387238	12.8406426782985	-4.55113205814756	13.2516404284942	5.18692761453431	-12.9540262098892	-20.8801422556972	-5.49669905545783	1.07357077560871	-5.82577954441084	1.21175182114754	-10.8335907758674	-1.38968697660502e-14
"Lym_7d_2"	-54.1467741920763	-3.34975808809689	45.0851645592017	27.8970001009893	-1.144472577591	-24.8876685128481	13.3112146832686	-0.927746734018908	-11.7017442197614	-19.4720603339532	0.704540391059321	9.5514853741737	-1.94516254824794	19.6840593470245	8.83882349199065	2.79464467932404	-0.260049516604236	14.1616407534831	4.43886789392517	9.9074522115856	-6.75671682735921	-10.6358235816843	22.9002993539655	-6.46357967148958e-14
